# Coordinates at the top of the screen
# Ref	Value	Size	X	Y	Rot	Sheet
C1	100nF	C0402	81	35	0	0
C2	1uF	C0402	60	39	90	0
C3	10nF	C0402	60	44	90	0
C4	22pF	C0402	86	55	0	0
C5	22pF	C0402	99	55	0	0
C6	100nF	C0402	102	76	0	0
C7	1uF	C0402	107	76	0	0
C8	1uF	C0402	35	112	0	0
C9	100nF	C0402	41	112	0	0
C10	10nF	C1206	105	16	90	1
C11	10nF	C1206	105	23	90	1
C12	100nF	C0402	176	28	0	1
C13	10uF	C0603	231	33	0	1
C14	10nF	C1206	105	59	90	0
C15	100nF	C0402	176	60	0	1
C16	10nF	C1206	105	65	90	0
C17	100nF	C0402	202	65	0	1
C18	100nF	C0402	209	65	0	1
C19	100nF	C0402	219	65	0	1
C20	100nF	C0402	224	65	0	1
C21	10nF	C0603	36	68	0	1
C22	10nF	C0603	41	68	0	1
C23	10nF	C0603	46	68	0	1
C24	10nF	C0603	51	68	0	1
C25	100nF	C0805	102	84	0	1
C26	1nF	C1808	36	85	0	1
C27	22pF	C0402	209	85	0	1
C28	22pF	C0402	223	85	0	1
C29	68pF	C1210	182	98	0	1
C30	1uF	C1210	114	100	0	1
C31	220uF	CAN-SMD 224	108	0	1
C32	100nF	C0402	241	108	0	1
C33	47uF	C1206	264	108	0	1
C34	100uF	C1206	214	108	0	1
C35	47pF	C0402	231	108	0	1
C36	4u7	C0805	134	117	0	1
C37	470pF	C0402	215	124	90	1
C38	100nF	C0402	79	134	0	1
C39	33nF	C0402	169	156	90	1
C41	27nF	C0402	185	163	0	1
C42	2n2	C1812	175	173	90	1
# XXX Check the rotation of all diodes
D1	BAT60J	BAT60J 138	161	0	1
D2	GRN	D0603	35	34	0	0
D3	BAT60J	BAT60J 152	79	0	0
D4	STATUS	D0603	252	49	0	0
D5	LINK	D0603	261	49	0	0
D6	STATUS	D0603	252	69	0	0
D7	LINK	D0603	261	69	0	0
D8	SMAJ58A SMAJ58A	92	85	0	0
# XXX What to define for D9
D9	8V2	SOD-323 129	95	0	0
D10	MURA120T3G	MURA120T3G	31	106	0	1
D11	BAS516	BAS516	161	114	0	1
D12	MBRS540T3	MBRS540T3	209	117	90	1
D13	BAS516	BAS516	139	162	270	1
D14	TLV431A TLV431A	169	180	0	1
D15	BAS516	BAS516	86	182	0	1
R1	150R	R0402	34	45	270	0
R2	390R	R0402	76	64	270	0
R3	10K	R0402	133	72	270	0
R4	10K	R0402	124	95	270	0
R5	49R9	R0402	168	19	270	1
R6	49R9	R0402	168	30	270	1
R7	2K2	R0402	196	32	270	0
R8	49R9	R0402	168	50	270	1
R9	330R	R0402	239	58	0	1
R10	330R	R0402	239	61	0	1
R11	49R9	R0402	168	63	270	1
R12	75R	R0603	36	82	270	1
R13	75R	R0603	41	82	270	1
R14	75R	R0603	46	82	270	1
R15	75R	R0603	51	82	270	1
R16	220K	R0402	129	82	270	1
R17	100R	R0805	182	82	270	1
R18	220K	R0402	142	82	270	1
R19	510R	R0402	171	113	0	1
R20	100K	R0402	122	120	270	1
R21	10R	R0402	205	124	0	1
R22	8K06	R0402	132	127	0	1
R23	4K7	R0402	167	138	0	1
R24	0R125	R1206	178	143	270	1
R25	45R3	R0402	82	148	270	1
R26	6K8	R0402	152	151	270	1
R27	1K	R0402	170	160	0	1
R28	470R	R0402	192	160	0	1
R29	100K	R0402	201	162	270	1
R30	47K	R0402	203	173	0	1
R31	10K	R0402	92	173	0	1
R32	33K2	R0402	201	184	270	1
R33	1K	R0402	140	78	0	0
R34	2K2	R0402	114	80	270	0
R35	2K2	R0402	116	80	270	0
U1	STM32F05XLQF64	STM32F051RX	73	96	0	0
